category,term.ID,term.description,observed.gene.count,background.gene.count,strength,signal,false.discovery.rate,matching.proteins.in.your.network..IDs.,matching.proteins.in.your.network..labels.
GO Process,GO:0010628,Positive regulation of gene expression,43,1146,0.87,2.17,6.94E-24,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000306157,9606.ENSP00000312082,9606.ENSP00000332049,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000358490,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000367851,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000433138,9606.ENSP00000483570,9606.ENSP00000498321","CD74,CD4,XBP1,TGFB1,IFNG,IRF1,CCR7,TLR2,TYROBP,IRF8,ATM,CSF1R,FCER1G,CCR2,LAPTM5,IL7R,TLR8,CD86,DNMT1,STAT1,FCGR3A,IFI16,MNDA,CD2,CD40,TLR4,FGR,SYK,CYBB,IRF4,JAK2,LILRB2,ETS1,CDK1,HLA-A,IRF7,TNF,ARRB2,PTPRC,BRCA1,CASP1,BTK,MYD88"
GO Process,GO:0051716,Cellular response to stimulus,84,6357,0.42,0.96,7.42E-24,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000228434,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000247461,9606.ENSP00000249071,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000271450,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000300692,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312082,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000354782,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357981,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000434024,9606.ENSP00000469613,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,CDC6,XBP1,GZMB,CORO1A,TGFB1,NFKB1,CD69,IFNG,PLEK,IRF1,CCR7,CANX,RAC2,TLR2,TYROBP,ICAM1,ZAP70,CD27,IRF8,FCGR2A,ATM,CSF1R,FCER1G,CCR2,CCR5,CD3D,BIRC5,CXCL10,IL7R,CASP3,TLR8,GNAI2,EZH2,HCLS1,CD86,STAT5A,DNMT1,STAT1,CD247,FASLG,FCGR3A,IFI16,MNDA,CTSS,CD2,PTEN,CD40,TLR4,FGR,SYK,HCK,CYBB,JAK2,LILRB2,TRAF3,CDK1,HLA-A,IRF7,ITGB2,CD8A,CXCR4,PTPN6,CD44,TNF,ARRB2,INPP5D,PTPRC,BRCA1,LYN,DOCK2,CASP1,H2AX,FLT3LG,VAV1,LCK,LOC102723407,CCNA2,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0045087,Innate immune response,37,754,0.99,2.59,8.33E-24,"9606.ENSP00000009530,9606.ENSP00000216341,9606.ENSP00000219150,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000260010,9606.ENSP00000264972,9606.ENSP00000268638,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000305651,9606.ENSP00000312082,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000358490,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000376500,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000498321","CD74,GZMB,CORO1A,IFNG,IRF1,TLR2,ZAP70,IRF8,CSF1R,FCER1G,CXCL10,TLR8,STAT1,FASLG,FCGR3A,IFI16,CD2,CD40,TLR4,FGR,SYK,HCK,CYBB,JAK2,TRAF3,HLA-A,IRF7,PTPN6,TNF,HLA-B,LYN,CASP1,LCK,LOC102723407,BTK,ITGAM,MYD88"
GO Process,GO:0008284,Positive regulation of cell population proliferation,40,945,0.92,2.35,8.85E-24,"9606.ENSP00000009530,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000249071,9606.ENSP00000256442,9606.ENSP00000264972,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000469613,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000498321","CD74,CDC6,XBP1,CORO1A,TGFB1,IFNG,RAC2,CCNB1,ZAP70,CSF1R,CCR2,BIRC5,CXCL10,IL7R,GNAI2,EZH2,HCLS1,CD86,STAT5A,DNMT1,STAT1,FASLG,FCGR3A,PTEN,CD40,TLR4,SYK,HCK,JAK2,LILRB2,CDK1,HLA-A,PTPN6,TNF,PTPRC,LYN,FLT3LG,CCNA2,BTK,MYD88"
GO Process,GO:0030097,Hemopoiesis,35,655,1.02,2.71,1.66E-23,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000265748,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000331614,9606.ENSP00000357113,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000469613,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000483570","CD74,CD4,TGFB1,IFNG,PLEK,IRF1,CCR7,TLR2,TYROBP,ZAP70,ANLN,IRF8,ATM,CSF1R,FCER1G,CD3D,IL7R,CASP3,EZH2,HCLS1,IKZF1,IFI16,SYK,IRF4,JAK2,CD8A,PTPN6,TNF,PTPRC,LYN,DOCK2,FLT3LG,VAV1,LCK,BTK"
GO Process,GO:0043067,Regulation of programmed cell death,47,1492,0.79,1.91,1.66E-23,"9606.ENSP00000009530,9606.ENSP00000216037,9606.ENSP00000216911,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000246657,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000294507,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312999,9606.ENSP00000320176,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000357123,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000477713,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102","CD74,XBP1,AURKA,CORO1A,TGFB1,NFKB1,IFNG,CCR7,TYROBP,ICAM1,CD27,ATM,CSF1R,LAPTM5,BIRC5,CXCL10,IL7R,CASP3,GNAI2,HCLS1,DNMT1,STAT1,FASLG,MNDA,PTEN,CD40,SYK,HCK,JAK2,ETS1,TRAF3,CDK1,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,INPP5D,PTPRC,BRCA1,LYN,CASP1,LCK,BTK,ITGAM,CTLA4"
GO Process,GO:0042127,Regulation of cell population proliferation,49,1669,0.76,1.81,1.84E-23,"9606.ENSP00000009530,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000249071,9606.ENSP00000256442,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000301633,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357123,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000469613,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CDC6,XBP1,CORO1A,TGFB1,IFNG,IRF1,RAC2,CCNB1,TLR2,TYROBP,ZAP70,ATM,CSF1R,CCR2,BIRC5,CXCL10,IL7R,CASP3,GNAI2,EZH2,HCLS1,CD86,STAT5A,DNMT1,STAT1,FASLG,FCGR3A,MNDA,PTEN,CD40,TLR4,SYK,HCK,JAK2,LILRB2,ETS1,CDK1,HLA-A,PTPN6,TNF,INPP5D,PTPRC,LYN,FLT3LG,CCNA2,BTK,CTLA4,MYD88"
GO Process,GO:0050863,Regulation of T cell activation,29,376,1.18,3.31,3.70E-23,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000379873,9606.ENSP00000391592,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000497102","CD74,CD4,XBP1,CORO1A,TGFB1,IFNG,IRF1,CCR7,RAC2,ZAP70,CD27,CCR2,LAPTM5,IL7R,CASP3,CD86,CD2,PTEN,SYK,IRF4,JAK2,LILRB2,HLA-A,PTPN6,PTPRC,LYN,VAV1,LCK,CTLA4"
GO Process,GO:0051239,Regulation of multicellular organismal process,59,2749,0.63,1.42,7.39E-23,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000312082,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000367851,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380948,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000483570,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,XBP1,TGFB1,NFKB1,IFNG,IRF1,CCR7,TLR2,TYROBP,ZAP70,CD27,IRF8,CSF1R,FCER1G,CCR2,LAPTM5,CXCL10,IL7R,TLR8,GNAI2,EZH2,HCLS1,CD86,STAT5A,STAT1,FASLG,FCGR3A,IFI16,MNDA,CD2,PTEN,CD40,TLR4,FGR,SYK,CYBB,IRF4,JAK2,LILRB2,ETS1,TRAF3,CDK1,HLA-A,IRF7,ITGB2,CXCR4,PTPN6,TNF,HLA-B,ARRB2,INPP5D,PTPRC,BRCA1,LYN,CASP1,BTK,CTLA4,MYD88"
GO Process,GO:0071310,Cellular response to organic substance,52,2019,0.71,1.63,9.66E-23,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000264832,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357981,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000498321","CD74,CD4,CDC6,XBP1,CORO1A,TGFB1,NFKB1,IFNG,IRF1,CCR7,TLR2,ICAM1,IRF8,ATM,CSF1R,FCER1G,CCR2,CCR5,CXCL10,IL7R,CASP3,EZH2,HCLS1,CD86,STAT5A,DNMT1,STAT1,FASLG,IFI16,MNDA,CTSS,CD40,TLR4,SYK,HCK,CYBB,JAK2,LILRB2,TRAF3,CDK1,IRF7,CXCR4,PTPN6,CD44,TNF,ARRB2,BRCA1,LYN,CASP1,CCNA2,BTK,MYD88"
GO Process,GO:1902105,Regulation of leukocyte differentiation,27,315,1.23,3.43,1.55E-22,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000292301,9606.ENSP00000306157,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000375629,9606.ENSP00000380697,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000483570,9606.ENSP00000497102","CD74,CD4,XBP1,TGFB1,IFNG,IRF1,TYROBP,ZAP70,CD27,CCR2,IL7R,HCLS1,CD86,CD2,TLR4,SYK,IRF4,LILRB2,IRF7,PTPN6,TNF,HLA-B,INPP5D,PTPRC,LYN,BTK,CTLA4"
GO Process,GO:1903706,Regulation of hemopoiesis,29,410,1.14,3.1,3.37E-22,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000292301,9606.ENSP00000306157,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000358490,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000380697,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000483570,9606.ENSP00000497102","CD74,CD4,XBP1,TGFB1,IFNG,IRF1,TYROBP,ZAP70,CD27,CCR2,IL7R,HCLS1,CD86,STAT1,CD2,TLR4,SYK,IRF4,LILRB2,ETS1,IRF7,PTPN6,TNF,HLA-B,INPP5D,PTPRC,LYN,BTK,CTLA4"
GO Process,GO:0070887,Cellular response to chemical stimulus,57,2609,0.63,1.43,3.52E-22,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000209728,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000228434,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000264832,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312999,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000341208,9606.ENSP00000352516,9606.ENSP00000354394,9606.ENSP00000356694,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357981,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376500,9606.ENSP00000378699,9606.ENSP00000380697,9606.ENSP00000380948,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000403701,9606.ENSP00000418960,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000481380,9606.ENSP00000483570,9606.ENSP00000498321","CD74,CD4,CDC6,XBP1,CORO1A,TGFB1,NFKB1,CD69,IFNG,IRF1,CCR7,TLR2,ICAM1,IRF8,ATM,CSF1R,FCER1G,CCR2,CCR5,CXCL10,IL7R,CASP3,GNAI2,EZH2,HCLS1,CD86,STAT5A,DNMT1,STAT1,FASLG,IFI16,MNDA,CTSS,PTEN,CD40,TLR4,SYK,HCK,CYBB,JAK2,LILRB2,TRAF3,CDK1,IRF7,ITGB2,CXCR4,PTPN6,CD44,TNF,ARRB2,BRCA1,LYN,CASP1,VAV1,CCNA2,BTK,MYD88"
GO Process,GO:0002768,Immune response-regulating cell surface receptor signaling pathway,24,228,1.32,3.69,9.56E-22,"9606.ENSP00000046794,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000289902,9606.ENSP00000300692,9606.ENSP00000354782,9606.ENSP00000356946,9606.ENSP00000357123,9606.ENSP00000361359,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000375629,9606.ENSP00000379873,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000497102","LCP2,TYROBP,ZAP70,FCER1G,CD3D,CD247,FCGR3A,MNDA,CD40,FGR,SYK,HCK,LILRB2,HLA-A,CD8A,PTPN6,INPP5D,PTPRC,LYN,VAV1,LCK,LOC102723407,BTK,CTLA4"
GO Process,GO:0002697,Regulation of immune effector process,28,383,1.16,3.12,9.82E-22,"9606.ENSP00000009530,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000249071,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000306157,9606.ENSP00000332049,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000379873,9606.ENSP00000380948,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000498321","CD74,XBP1,TGFB1,IFNG,RAC2,TYROBP,ICAM1,CCR2,LAPTM5,IL7R,CD86,CD40,TLR4,FGR,SYK,IRF4,HLA-A,ITGB2,PTPN6,TNF,HLA-B,ARRB2,PTPRC,LYN,VAV1,BTK,ITGAM,MYD88"
GO Process,GO:0050864,Regulation of B cell activation,21,140,1.47,4.21,9.99E-22,"9606.ENSP00000009530,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000262629,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000294507,9606.ENSP00000311032,9606.ENSP00000357123,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000380921,9606.ENSP00000391592,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000497102","CD74,XBP1,TGFB1,TYROBP,CD27,ATM,LAPTM5,CASP3,MNDA,PTEN,CD40,TLR4,SYK,SH3KBP1,PTPN6,INPP5D,PTPRC,LYN,LOC102723407,BTK,CTLA4"
GO Process,GO:0032101,Regulation of response to external stimulus,38,964,0.89,2.16,1.96E-21,"9606.ENSP00000009530,9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000292301,9606.ENSP00000305651,9606.ENSP00000312082,9606.ENSP00000354394,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000361021,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000483570,9606.ENSP00000498321","CD74,TGFB1,NFKB1,IFNG,IRF1,CCR7,RAC2,TLR2,TYROBP,ATM,CSF1R,CCR2,CXCL10,TLR8,STAT1,IFI16,MNDA,PTEN,TLR4,FGR,SYK,HCK,JAK2,ETS1,TRAF3,HLA-A,IRF7,CXCR4,PTPN6,TNF,HLA-B,ARRB2,PTPRC,LYN,CASP1,VAV1,BTK,MYD88"
