"Disease_Code","Disease_Name","Name","Source","P_value","FDR_Bonferroni","FDR_BH","FDR_BY","Query_Hits","Genome_Hits","Hits"
"C1862941","C1862941","Amyotrophic Lateral Sclerosis, Sporadic","DisGeNET Curated",0.000568,1,0.00446,0.0369,3,48,"SELPLG,CASP1,TNF"
"DOID:0050744","DOID:0050744 (is_implicated_in)","anaplastic large cell lymphoma (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IRF4"
"DOID:3314","DOID:3314 (is_marker_for)","angiomyolipoma (is_marker_for)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"STAT1"
"EFO_0000384, EFO_0000676, EFO_0000729, EFO_0003898, EFO_0004268","EFO_0000384, EFO_0000676, EFO_0000729, EFO_0003898, EFO_0004268","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis","GWAS",7.07e-06,0.0156,0.000168,0.00139,8,295,"CD244,IRF1,IKZF1,ITGAL,NOD2,CORO1A,CD6,CTLA4"
"DOID:11168","DOID:11168 (is_marker_for)","anogenital venereal wart (is_marker_for)","AllianceGenome",1.68e-06,0.0037,5.14e-05,0.000426,4,26,"TLR8,KLRK1,TNF,CTLA4"
"DOID:1407","DOID:1407 (is_implicated_in)","anterior uveitis (is_implicated_in)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"TNF"
"C0003165","C0003165","Anthracosis","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:4780","DOID:4780 (is_implicated_in)","anti-basement membrane glomerulonephritis (is_implicated_in)","AllianceGenome",6.66e-05,0.146,0.000822,0.0068,2,4,"FCGR3A,CTLA4"
"DOID:1712","DOID:1712 (implicated_via_orthology)","aortic valve stenosis (implicated_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"TNF"
"DOID:12449","DOID:12449 (is_implicated_in)","aplastic anemia (is_implicated_in)","AllianceGenome",1.02e-05,0.0225,0.000211,0.00175,3,13,"IFNG,PRF1,TNF"
"C0348890","C0348890","Aplastic anemia, idiopathic","DisGeNET Curated",0.000111,0.243,0.00116,0.00959,2,5,"IFNG,PRF1"
"C0003615","C0003615","Appendicitis","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"C0751851","C0751851","Arsenic Encephalopathy","DisGeNET Curated",0.0185,1,0.0378,0.313,2,62,"CCL4,TNF"
"C0751852","C0751852","Arsenic Induced Polyneuropathy","DisGeNET Curated",0.0185,1,0.0378,0.313,2,62,"CCL4,TNF"
"C0311375","C0311375","Arsenic Poisoning","DisGeNET Curated",0.0185,1,0.0378,0.313,2,62,"CCL4,TNF"
"C0274861","C0274861","Arsenic Poisoning, Inorganic","DisGeNET Curated",0.0185,1,0.0378,0.313,2,62,"CCL4,TNF"
"C0003864","C0003864","Arthritis","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"CD69"
"C0003865","C0003865","Arthritis, Adjuvant-Induced","DisGeNET Curated",9.93e-06,0.0218,0.000211,0.00175,4,40,"STAT1,IFNG,CD69,TNF"
"C1692886","C1692886","Arthritis, Bacterial","DisGeNET Curated",1.11e-05,0.0245,0.000211,0.00175,2,2,"IFNG,TNF"
"C0971858","C0971858","Arthritis, Collagen-Induced","DisGeNET Curated",9.93e-06,0.0218,0.000211,0.00175,4,40,"STAT1,IFNG,CD69,TNF"
"C0993582","C0993582","Arthritis, Experimental","DisGeNET Curated",9.93e-06,0.0218,0.000211,0.00175,4,40,"STAT1,IFNG,CD69,TNF"
"C0003869","C0003869","Arthritis, Infectious","DisGeNET Curated",1.11e-05,0.0245,0.000211,0.00175,2,2,"IFNG,TNF"
"C3891815","C3891815","Arthritis, Suppurative","DisGeNET Curated",1.11e-05,0.0245,0.000211,0.00175,2,2,"IFNG,TNF"
"C0003875","C0003875","Arthritis, Viral","DisGeNET Curated",1.11e-05,0.0245,0.000211,0.00175,2,2,"IFNG,TNF"
"DOID:1556","DOID:1556 (implicated_via_orthology)","arthus reaction (implicated_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"BTK"
"EFO_0004736","EFO_0004736","aspartate aminotransferase measurement","GWAS",0.00339,1,0.0114,0.0939,9,904,"IRF1,EVI2B,ARHGAP9,IKZF1,ZAP70,PTPRC,FCGR3A,CTLA4,KLRC1"
"DOID:0050152","DOID:0050152 (biomarker_via_orthology)","aspiration pneumonia (biomarker_via_orthology)","AllianceGenome",0.02,1,0.039,0.322,1,6,"TNF"
"DOID:2841","DOID:2841 (is_implicated_in)","asthma (is_implicated_in)","AllianceGenome",1.41e-10,3.11e-07,1.73e-08,1.43e-07,10,157,"IRF1,NOD2,CCR2,FCGR3A,CD86,CCL5,CCR5,TNF,CTLA4,IL2RB"
"EFO_0004847, MONDO_0004979","EFO_0004847, MONDO_0004979","asthma, age at onset","GWAS",0.0232,1,0.0436,0.361,2,70,"IRF4,FASLG"
"MONDO_0004979, MONDO_0005271","MONDO_0004979, MONDO_0005271","asthma, allergic disease","GWAS",0.000148,0.325,0.00148,0.0122,4,79,"IRF1,CD247,CCR7,IL7R"
"EFO_0005854, HP_0000964, MONDO_0004979","EFO_0005854, HP_0000964, MONDO_0004979","asthma, Eczema, allergic rhinitis","GWAS",0.00793,1,0.0217,0.179,3,121,"CD247,CCR7,IL7R"
"600807","600807","ASTHMA, SUSCEPTIBILITY TO","OMIM MedGen",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:12704","DOID:12704 (is_implicated_in)","ataxia telangiectasia (is_implicated_in)","AllianceGenome",0.0233,1,0.0436,0.361,1,7,"IFNG"
"C1563937","C1563937","Atherogenesis","DisGeNET Curated",4.71e-05,0.104,0.000628,0.00519,4,59,"FASLG,IFNG,CCL4,TNF"
"C0004153","C0004153","Atherosclerosis","DisGeNET Curated",4.71e-05,0.104,0.000628,0.00519,4,59,"FASLG,IFNG,CCL4,TNF"
"EFO_0010638","EFO_0010638","atopic asthma","GWAS",0.00459,1,0.015,0.124,4,199,"IRF1,CD247,CCR7,IL7R"
"DOID:3310","DOID:3310 (is_marker_for)","atopic dermatitis (is_marker_for)","AllianceGenome",5.76e-06,0.0127,0.000146,0.00121,4,35,"IFNG,CCR2,CCR5,CTLA4"
"EFO_0000274","EFO_0000274","atopic eczema","GWAS",0.00163,1,0.0103,0.085,5,252,"TBX21,CD247,GPSM3,CCR7,IL7R"
"C0241910","C0241910","Autoimmune Chronic Hepatitis","DisGeNET Curated",0.00147,1,0.00929,0.0769,2,17,"IFNG,CCL5"
"EFO_0005140","EFO_0005140","autoimmune disease","GWAS",1.99e-06,0.00439,5.77e-05,0.000477,7,173,"PSMB9,IRF4,FASLG,STAT4,ICOS,GPSM3,CTLA4"
"CV:C4310768","cv:C4310768","Autoimmune disease, multisystem, infantile-onset, 2","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"ZAP70"
"CV:C3279990","cv:C3279990","Autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"STAT1"
"DOID:718","DOID:718 (is_implicated_in)","autoimmune hemolytic anemia (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"DOID:6688","DOID:6688 (implicated_via_orthology)","autoimmune lymphoproliferative syndrome (implicated_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"FASLG"
"CV:C4015214","cv:C4015214","Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsufficiency","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"CV:C1328840","cv:C1328840","Autoimmune lymphoproliferative syndrome type 1","Clinical Variations",0.0067,1,0.0185,0.153,1,2,"FASLG"
"C2717884","C2717884","Autoimmune Lymphoproliferative Syndrome Type 1, Autosomal Dominant","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"FASLG"
"C1846545","C1846545","Autoimmune Lymphoproliferative Syndrome Type 2B","DisGeNET Curated",0.0233,1,0.0436,0.361,1,7,"FASLG"
"CV:C1866120","cv:C1866120","Autoimmune lymphoproliferative syndrome, type 1b","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"FASLG"
"C0004368","C0004368","Autoimmune state","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"CTLA4"
"DOID:8924","DOID:8924 (is_implicated_in)","autoimmune thrombocytopenic purpura (is_implicated_in)","AllianceGenome",0.00114,1,0.00786,0.0651,2,15,"FCGR3A,CD86"
"EFO_0006812","EFO_0006812","autoimmune thyroid disease","GWAS",4.43e-10,9.74e-07,4.23e-08,3.5e-07,9,126,"TBX21,IRF4,STAT4,CD247,TRAT1,CD86,CD69,CTLA4,IL7R"
"DOID:7188","DOID:7188 (is_implicated_in)","autoimmune thyroiditis (is_implicated_in)","AllianceGenome",0.00072,1,0.00542,0.0448,2,12,"PSMB9,CTLA4"
"620296","620296","AUTOINFLAMMATION WITH PULMONARY AND CUTANEOUS VASCULITIS","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"HCK"
"DOID:0080235","DOID:0080235 (implicated_via_orthology)","autosomal dominant intellectual developmental disorder 48 (implicated_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"RAC2"
"CV:C3810342","cv:C3810342","Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"FCGR3A"
"DOID:707","DOID:707 (is_implicated_in)","B-cell lymphoma (is_implicated_in)","AllianceGenome",0.0233,1,0.0436,0.361,1,7,"BTK"
"DOID:874","DOID:874 (is_implicated_in)","bacterial pneumonia (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0242583","C0242583","Bare Lymphocyte Syndrome","DisGeNET Curated",7.27e-07,0.0016,2.39e-05,0.000198,3,6,"ZAP70,CD3D,CD3E"
"EFO_0004193","EFO_0004193","basal cell carcinoma","GWAS",0.0259,1,0.0474,0.392,3,189,"IRF4,ICOS,CTLA4"
"EFO_0005090","EFO_0005090","basophil count","GWAS",0.00123,1,0.00842,0.0697,7,483,"IRF1,IKZF1,PTPRC,FCGR3A,CD69,PLEK,IL7R"
"EFO_0004842, EFO_0005090","EFO_0004842, EFO_0005090","basophil count, eosinophil count","GWAS",0.000166,0.365,0.0016,0.0132,6,241,"IRF1,IRF4,IKZF1,PTPRC,CCR7,IL7R"
"EFO_0007992","EFO_0007992","basophil percentage of leukocytes","GWAS",0.00918,1,0.0246,0.203,4,243,"SELL,IKZF1,FCGR3A,IL7R"
"EFO_0020177","EFO_0020177","BCL-2-like protein 1 measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"C0004943","C0004943","Behcet Syndrome","DisGeNET Curated",0.00293,1,0.0113,0.0932,2,24,"ITGAL,STAT4"
"DOID:13241","DOID:13241 (is_implicated_in)","Behcet's disease (is_implicated_in)","AllianceGenome",2.97e-11,6.54e-08,4.36e-09,3.61e-08,7,36,"IRF8,STAT4,NOD2,FCGR3A,CCR5,TNF,CTLA4"
"DOID:10322","DOID:10322 (is_implicated_in)","berylliosis (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"CCR5"
"EFO_0801407","EFO_0801407","beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 measurement","GWAS",0.0134,1,0.0297,0.245,1,4,"CXCL10"
"C0023892","C0023892","Biliary cirrhosis","DisGeNET Curated",5.82e-09,1.28e-05,3.46e-07,2.86e-06,6,42,"CXCL10,STAT4,CD3D,CXCL9,CCL5,IL7R"
"C4551595","C4551595","Biliary Cirrhosis, Primary, 1","DisGeNET Curated",5.82e-09,1.28e-05,3.46e-07,2.86e-06,6,42,"CXCL10,STAT4,CD3D,CXCL9,CCL5,IL7R"
"EFO_0004267","EFO_0004267","biliary liver cirrhosis","GWAS",0.000439,0.966,0.0036,0.0298,3,44,"POU2AF1,STAT4,IL7R"
"DOID:0050625","DOID:0050625 (is_marker_for)","biliary tract benign neoplasm (is_marker_for)","AllianceGenome",0.0233,1,0.0436,0.361,1,7,"FASLG"
"C0005586","C0005586","Bipolar Disorder","DisGeNET Curated",0.0224,1,0.0436,0.361,5,477,"NOD2,IFNG,TNF,CTLA4,IL2RB"
"C1527311","C1527311","Brain Edema","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:0060108","DOID:0060108 (implicated_via_orthology)","brain glioma (implicated_via_orthology)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"FASLG"
"DOID:3454","DOID:3454 (biomarker_via_orthology)","brain infarction (biomarker_via_orthology)","AllianceGenome",4.53e-06,0.00995,0.000119,0.00098,4,33,"CXCL10,CD8A,GZMB,TNF"
"C0007786","C0007786","Brain Ischemia","DisGeNET Curated",0.00109,1,0.00757,0.0626,3,60,"CXCL10,CCL4,TNF"
"DOID:3458","DOID:3458 (is_implicated_in)","breast adenocarcinoma (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:1612","DOID:1612 (is_implicated_in)","breast cancer (is_implicated_in)","AllianceGenome",0.000155,0.34,0.00154,0.0127,5,150,"NOD2,IFNG,CCR5,TNF,CTLA4"
"C0678222","C0678222","Breast Carcinoma","DisGeNET Curated",0.00227,1,0.0113,0.0932,7,538,"IDO1,IFNG,CXCR4,BTK,GZMB,CXCL9,TNF"
"C1704377","C1704377","Bright Disease","DisGeNET Curated",3.5e-06,0.00769,9.62e-05,0.000796,4,31,"IFNG,CCL4,CCL5,TNF"
"C0342302","C0342302","Brittle diabetes","DisGeNET Curated",0.000439,0.966,0.0036,0.0298,3,44,"IFNG,CD69,TNF"
"DOID:9563","DOID:9563 (is_marker_for)","bronchiectasis (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:2799","DOID:2799 (is_marker_for)","bronchiolitis obliterans (is_marker_for)","AllianceGenome",1.02e-05,0.0225,0.000211,0.00175,3,13,"CXCL10,GZMB,CXCL9"
"C2350876","C2350876","Bronchiolitis, Exudative","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"C2350988","C2350988","Bronchiolitis, Proliferative","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"DOID:11077","DOID:11077 (is_marker_for)","brucellosis (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:8584","DOID:8584 (is_implicated_in)","Burkitt lymphoma (is_implicated_in)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"BTK"
"EFO_0021961","EFO_0021961","C-C motif chemokine 2 measurement","GWAS",0.0067,1,0.0185,0.153,1,2,"CCR2"
"C0006625","C0006625","Cachexia","DisGeNET Curated",0.00072,1,0.00542,0.0448,2,12,"CD27,TNF"
"EFO_0020215","EFO_0020215","calcineurin subunit B type 1 measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"C0006845","C0006845","Candidiasis, Chronic Mucocutaneous","DisGeNET Curated",0.000166,0.364,0.0016,0.0132,2,6,"CLEC7A,STAT1"
"C3279990","C3279990","CANDIDIASIS, FAMILIAL, 7","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"STAT1"
"EFO_0020230","EFO_0020230","carbonic anhydrase 4 measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"EFO_0020233","EFO_0020233","carbonic anhydrase-related protein 10 measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"DOID:305","DOID:305 (implicated_via_orthology)","carcinoma (implicated_via_orthology)","AllianceGenome",0.0196,1,0.039,0.322,2,64,"LCK,HCK"
"C0018790","C0018790","Cardiac Arrest","DisGeNET Curated",0.000111,0.243,0.00116,0.00959,2,5,"IFNG,TNF"
"C0033141","C0033141","Cardiomyopathies, Primary","DisGeNET Curated",0.0226,1,0.0436,0.361,2,69,"FASLG,TNF"
"C0600228","C0600228","Cardiopulmonary Arrest","DisGeNET Curated",3.34e-05,0.0734,0.000473,0.00392,2,3,"IFNG,TNF"
"C0206617","C0206617","Cardiovirus Infections","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"TNF"
"C0869523","C0869523","Carditis","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"EFO_0020247","EFO_0020247","CD48 antigen measurement","GWAS",0.0067,1,0.0185,0.153,1,2,"CD48"
"C1837065","C1837065","CD8 Deficiency, Familial","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CD8A"
"EFO_0020250","EFO_0020250","CD97 antigen measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"EFO_0001060","EFO_0001060","celiac disease","GWAS",5.06e-13,1.11e-09,1.86e-10,1.54e-09,11,126,"TAGAP,IRF4,FASLG,TLR8,STAT4,CCR2,CD247,ICOS,CTLA4,PLEK,RAC2"
"CV:C1857845","cv:C1857845","Celiac disease, susceptibility to, 3","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"DOID:3234","DOID:3234 (is_implicated_in)","central nervous system lymphoma (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"BTK"
"C0006114","C0006114","Cerebral Edema","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"C0917798","C0917798","Cerebral Ischemia","DisGeNET Curated",0.00109,1,0.00757,0.0626,3,60,"CXCL10,CCL4,TNF"
"C0038454","C0038454","Cerebrovascular accident","DisGeNET Curated",0.0185,1,0.0378,0.313,2,62,"IRF1,TNF"
"EFO_0008081","EFO_0008081","cGMP-specific 3',5'-cyclic phosphodiesterase measurement","GWAS",0.0167,1,0.0345,0.286,1,5,"CXCL10"
"DOID:12140","DOID:12140 (implicated_via_orthology)","Chagas disease (implicated_via_orthology)","AllianceGenome",1.11e-05,0.0245,0.000211,0.00175,2,2,"IFNG,CCL5"
"C0023452","C0023452","Childhood Acute Lymphoblastic Leukemia","DisGeNET Curated",0.0133,1,0.0297,0.245,2,52,"IKZF1,HCK"
"MONDO_0005405","MONDO_0005405","childhood onset asthma","GWAS",1.94e-06,0.00427,5.69e-05,0.000471,9,334,"TBX21,IRF1,IRF4,FASLG,NOD2,CD247,PTPRC,TNF,CCR7"
"C0085593","C0085593","Chills","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:11263","DOID:11263 (is_marker_for)","chlamydia (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"IDO1"
"C0008149","C0008149","Chlamydia Infections","DisGeNET Curated",1.11e-05,0.0245,0.000211,0.00175,2,2,"IFNG,TNF"
"DOID:13580","DOID:13580 (is_marker_for)","cholestasis (is_marker_for)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"CXCL10"
"C0268318","C0268318","Cholestasis of pregnancy","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:0050697","DOID:0050697 (is_implicated_in)","chorioamnionitis (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"EFO_0020258","EFO_0020258","chromobox protein homolog 5 measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"C1527303","C1527303","Chronic Airflow Obstruction","DisGeNET Curated",0.0055,1,0.0178,0.147,2,33,"CD8A,TNF"
"C0524610","C0524610","Chronic Alcoholic Hepatitis","DisGeNET Curated",0.000111,0.243,0.00116,0.00959,2,5,"CCL5,TNF"
"DOID:3265","DOID:3265 (is_implicated_in)","chronic granulomatous disease (is_implicated_in)","AllianceGenome",6.66e-05,0.146,0.000822,0.0068,2,4,"NCF1,IFNG"
"C0600040","C0600040","Chronic interstitial cystitis","DisGeNET Curated",3.34e-05,0.0734,0.000473,0.00392,2,3,"CXCL10,CXCL9"
"C2350344","C2350344","Chronic Lung Injury","DisGeNET Curated",0.00225,1,0.0113,0.0932,2,21,"CCL4,TNF"
